Motif	Factor	Evidence	Curated
NF2L2_MOUSE.H11MO.0.A	Nfe2l2	ChIP-seq	Y
NFAC1_MOUSE.H11MO.0.A	Nfatc1	ChIP-seq	Y
NFAC2_MOUSE.H11MO.0.C	Nfatc2	ChIP-seq	Y
NFAC3_MOUSE.H11MO.0.B	Nfatc3	ChIP-seq	Y
NFAC4_MOUSE.H11MO.0.C	Nfatc4	ChIP-seq	Y
NFE2_MOUSE.H11MO.0.A	Nfe2	ChIP-seq	Y
NFIA_MOUSE.H11MO.0.C	Nfia	ChIP-seq	Y
NFIB_MOUSE.H11MO.0.C	Nfib	ChIP-seq	Y
NFIC_MOUSE.H11MO.0.A	Nfic	ChIP-seq	Y
NFIL3_MOUSE.H11MO.0.C	Nfil3	ChIP-seq	Y
NFKB1_MOUSE.H11MO.0.A	Nfkb1	ChIP-seq	Y
NFKB2_MOUSE.H11MO.0.C	Nfkb2	ChIP-seq	Y
NFYA_MOUSE.H11MO.0.A	Nfya	ChIP-seq	Y
NFYB_MOUSE.H11MO.0.A	Nfyb	ChIP-seq	Y
NFYC_MOUSE.H11MO.0.B	Nfyc	ChIP-seq	Y
NGN2_MOUSE.H11MO.0.C	Neurog2	ChIP-seq	Y
NKX21_MOUSE.H11MO.0.A	Nkx2-1	ChIP-seq	Y
NKX22_MOUSE.H11MO.0.A	Nkx2-2	ChIP-seq	Y
NKX25_MOUSE.H11MO.0.A	Nkx2-5	ChIP-seq	Y
NKX28_MOUSE.H11MO.0.C	Nkx2-8	ChIP-seq	Y
NKX31_MOUSE.H11MO.0.C	Nkx3-1	ChIP-seq	Y
NKX32_MOUSE.H11MO.0.B	Nkx3-2	ChIP-seq	Y
NKX61_MOUSE.H11MO.0.A	Nkx6-1	ChIP-seq	Y
NOBOX_MOUSE.H11MO.0.C	Nobox	ChIP-seq	Y
NR1D1_MOUSE.H11MO.0.A	Nr1d1	ChIP-seq	Y
NR1D2_MOUSE.H11MO.0.A	Nr1d2	ChIP-seq	Y
NR1H3_MOUSE.H11MO.0.A	Nr1h3	ChIP-seq	Y
NR1H4_MOUSE.H11MO.0.A	Nr1h4	ChIP-seq	Y
NR1I2_MOUSE.H11MO.0.C	Nr1i2	ChIP-seq	Y
NR1I3_MOUSE.H11MO.0.C	Nr1i3	ChIP-seq	Y
NR2C1_MOUSE.H11MO.0.C	Nr2c1	ChIP-seq	Y
NR2C2_MOUSE.H11MO.0.A	Nr2c2	ChIP-seq	Y
NR2E3_MOUSE.H11MO.0.C	Nr2e3	ChIP-seq	Y
NR4A1_MOUSE.H11MO.0.B	Nr4a1	ChIP-seq	Y
NR4A2_MOUSE.H11MO.0.C	Nr4a2	ChIP-seq	Y
NR5A2_MOUSE.H11MO.0.A	Nr5a2	ChIP-seq	Y
NRF1_MOUSE.H11MO.0.A	Nrf1	ChIP-seq	Y
OLIG2_MOUSE.H11MO.0.A	Olig2	ChIP-seq	Y
OTX2_MOUSE.H11MO.0.A	Otx2	ChIP-seq	Y
OVOL1_MOUSE.H11MO.0.C	Ovol1	ChIP-seq	Y
OVOL2_MOUSE.H11MO.0.C	Ovol2	ChIP-seq	Y
P53_MOUSE.H11MO.0.A	Tp53	ChIP-seq	Y
P63_MOUSE.H11MO.0.B	Tp63	ChIP-seq	Y
P73_MOUSE.H11MO.0.B	Tp73	ChIP-seq	Y
PAX5_MOUSE.H11MO.0.A	Pax5	ChIP-seq	Y
PAX6_MOUSE.H11MO.0.C	Pax6	ChIP-seq	Y
PBX1_MOUSE.H11MO.0.A	Pbx1	ChIP-seq	Y
PBX2_MOUSE.H11MO.0.C	Pbx2	ChIP-seq	Y
PBX3_MOUSE.H11MO.0.A	Pbx3	ChIP-seq	Y
PDX1_MOUSE.H11MO.0.B	Pdx1	ChIP-seq	Y
PEBB_MOUSE.H11MO.0.C	Cbfb	ChIP-seq	Y
PIT1_MOUSE.H11MO.0.C	Pou1f1	ChIP-seq	Y
PITX1_MOUSE.H11MO.0.C	Pitx1	ChIP-seq	Y
PKNX1_MOUSE.H11MO.0.A	Pknox1	ChIP-seq	Y
PO2F1_MOUSE.H11MO.0.C	Pou2f1	ChIP-seq	Y
PO2F2_MOUSE.H11MO.0.B	Pou2f2	ChIP-seq	Y
PO3F1_MOUSE.H11MO.0.C	Pou3f1	ChIP-seq	Y
PO3F2_MOUSE.H11MO.0.A	Pou3f2	ChIP-seq	Y
PO5F1_MOUSE.H11MO.0.A	Pou5f1	ChIP-seq	Y
PPARA_MOUSE.H11MO.0.A	Ppara	ChIP-seq	Y
PPARG_MOUSE.H11MO.0.A	Pparg	ChIP-seq	Y
PRD14_MOUSE.H11MO.0.A	Prdm14	ChIP-seq	Y
PRD16_MOUSE.H11MO.0.B	Prdm16	ChIP-seq	Y
PRDM1_MOUSE.H11MO.0.A	Prdm1	ChIP-seq	Y
PRDM5_MOUSE.H11MO.0.A	Prdm5	ChIP-seq	Y
PRDM9_MOUSE.H11MO.0.C	Prdm9	ChIP-seq	Y
PRGR_MOUSE.H11MO.0.A	Pgr	ChIP-seq	Y
PROP1_MOUSE.H11MO.0.C	Prop1	ChIP-seq	Y
PRRX2_MOUSE.H11MO.0.C	Prrx2	ChIP-seq	Y
PTF1A_MOUSE.H11MO.0.A	Ptf1a	ChIP-seq	Y
RARA_MOUSE.H11MO.0.A	Rara	ChIP-seq	Y
RARG_MOUSE.H11MO.0.C	Rarg	ChIP-seq	Y
RELB_MOUSE.H11MO.0.C	Relb	ChIP-seq	Y
REL_MOUSE.H11MO.0.A	Rel	ChIP-seq	Y
REST_MOUSE.H11MO.0.A	Rest	ChIP-seq	Y
RFX1_MOUSE.H11MO.0.A	Rfx1	ChIP-seq	Y
RFX2_MOUSE.H11MO.0.A	Rfx2	ChIP-seq	Y
RFX3_MOUSE.H11MO.0.C	Rfx3	ChIP-seq	Y
RFX6_MOUSE.H11MO.0.C	Rfx6	ChIP-seq	Y
RORA_MOUSE.H11MO.0.C	Rora	ChIP-seq	Y
RORG_MOUSE.H11MO.0.B	Rorc	ChIP-seq	Y
RUNX1_MOUSE.H11MO.0.A	Runx1	ChIP-seq	Y
RUNX2_MOUSE.H11MO.0.A	Runx2	ChIP-seq	Y
RUNX3_MOUSE.H11MO.0.A	Runx3	ChIP-seq	Y
RXRA_MOUSE.H11MO.0.A	Rxra	ChIP-seq	Y
RXRB_MOUSE.H11MO.0.C	Rxrb	ChIP-seq	Y
RXRG_MOUSE.H11MO.0.B	Rxrg	ChIP-seq	Y
